dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting.md,1,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,1
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,1,2020-01-07,Council,Other,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,rule:proc-agenda,high,2
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,2,2020-01-07,Council,Other,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,rule:proc-report,medium,3
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,3,2020-01-07,Council,Other,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,rule:proc-report,medium,4
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,4,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,5
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,5,2020-01-07,Council,Ordinance,Public-Hearing,,procedural,pass,,,,voice,Voice Pass,rule:ph-openclose,high,6
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,6,2020-01-07,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,7
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,7,2020-01-07,Council,Ordinance,Budget,,final-action,pass,,,,voice,Voice Pass,rule:budget,high,8
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,8,2020-01-07,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,9
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,9,2020-01-07,Council,Ordinance,Land-Use,Vacation,final-action,pass,7,0,,roll-call,7-0 Pass,rule:lu-vacate,high,10
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,10,2020-01-07,Council,Ordinance,Ordinance,,final-action,pass,7,0,,roll-call,7-0 Pass,crosswalk,medium,11
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,11,2020-01-07,Council,Other,Other,,final-action,pass,7,0,,roll-call,7-0 Pass,rule:no-signal,low,12
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,12,2020-01-07,Council,Other,Appointment,,final-action,pass,6,1,,roll-call,6-1 Pass,rule:officer-elect,high,13
meeting_minutes,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_city-council-meeting-2.md,13,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,14
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,1,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,unknown,,,,unknown,Recorded,crosswalk,high,15
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,2,2020-01-21,Council,Ordinance,Public-Hearing,,procedural,pass,,,,voice,Voice Pass,rule:ph-openclose,high,16
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,3,2020-01-21,Council,Resolution,Resolution,,final-action,unknown,,,,unknown,Recorded,crosswalk,high,17
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,4,2020-01-21,Council,Appointment,Appointment,,final-action,unknown,,,,unknown,Recorded,crosswalk,high,18
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,5,2020-01-21,Council,Ceremonial,Ceremonial,,final-action,pass,,,,voice,Voice Pass,crosswalk,high,19
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,6,2020-01-21,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,20
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,7,2020-01-21,Council,Ordinance,Ordinance,,final-action,pass,4,0,,roll-call,4-0 Pass,crosswalk,medium,21
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,8,2020-01-21,Council,Resolution,Budget,,final-action,pass,4,0,,roll-call,4-0 Pass,rule:budget,high,22
meeting_minutes,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_city-council-meeting-2.md,9,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,voice,Voice Pass,crosswalk,high,23
meeting_minutes,meeting_minutes/minutes/2020/2020-01-27/2020-01-28_city-council-meeting-2.md,1,2020-01-28,Council,Ceremonial,Ceremonial,,final-action,unknown,,,,unknown,Recorded,crosswalk,high,24
