date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2023,"Orem General Plan (2023 Update) - includes the Moderate Income Housing element (Chapter 4, Housing; sec. 4.4.2)",general_plan,https://orem.gov/wp-content/uploads/2024/12/Orem-General-Plan-2023-Update_low-resolution.pdf,2026-07-05,text,pdftotext-layout,raw/Orem-General-Plan-2023-Update_low-resolution.pdf,93,city,Orem's adopted General Plan. The MIH element required by Utah Code 10-9a-403 lives in Chapter 4 (Housing): sec. 4.4 Median-Income Housing Study and sec. 4.4.2 Moderate Income Housing. On 2023-01-09 the City Council amended the General Plan (Resolution R-2023-0004) to adopt its MIH strategies; the plan text (born-digital) lists the accessory-apartment / affordable-senior / etc. strategies. Sidecar text/Orem-General-Plan-2023-Update.txt. No separate stand-alone 'MIH element' PDF is published - the element IS Chapter 4.
2018-09-12,Orem Moderate-Income Housing Study (September 2018),mih_element,https://orem.gov/wp-content/uploads/2024/12/Orem-Moderate-Income-Housing-Study_2018.09.12.pdf,2026-07-05,text,pdftotext-layout,raw/Orem-Moderate-Income-Housing-Study_2018.09.12.pdf,41,city,The 2018 housing-needs study that underlies the General Plan MIH element (referenced by Ch.4 sec.4.4). Born-digital. Sidecar text/Orem-Moderate-Income-Housing-Study_2018.txt.
2026-07-05,Orem Housing / Moderate-Income Housing & Reporting landing page (orem.gov/housing),mih_element,https://orem.gov/housing/,2026-07-05,html,none,raw/orem-housing-landing-page.html,,city,"Living city web page describing Orem's MIH strategies and reporting. Confirms the City Council amended the General Plan on 2023-01-09 to adopt 5 MIH strategies and required implementation, and that Orem submitted its required report on 2023-08-01. Retained as HTML (format=html, extraction=none); date is the retrieval/as-of date, content describes 2023 actions."
2025-12-08,Orem FrontRunner Station Area Plan (SAP) Report - Exhibit A,mih_element,https://orem.gov/wp-content/uploads/2025/12/Exhibit-A-Orem-Frontrunner-Station-SAP-Report-2025_12.8.2025.pdf,2026-07-05,text,pdftotext-layout,raw/Exhibit-A-Orem-Frontrunner-Station-SAP-Report-2025_12.8.2025.pdf,37,city,"Station Area Plan for the Orem FrontRunner station, adopted 2025 (Exhibit A to Resolution R-2025-0021). HB 462 (2022) requires SAPs around fixed-guideway transit stations as a MIH/land-use tool. Born-digital. Sidecar text/Orem-Frontrunner-Station-SAP-Report-2025.txt."
2025-12,Resolution R-2025-0021 - adopting the Orem FrontRunner Station Area Plan,mih_element,https://orem.gov/wp-content/uploads/2025/12/Resolution-R-2025-0021-Frontrunner-Station-Area-Plan-1.pdf,2026-07-05,scanned,ocr-tesseract,raw/Resolution-R-2025-0021-Frontrunner-Station-Area-Plan.pdf,3,city,Signed (scanned) City Council resolution adopting the FrontRunner SAP. OCR'd. Sidecar text/Resolution-R-2025-0021-Frontrunner-Station-Area-Plan.ocr.txt. Joinable to meeting_minutes/all_votes.csv by the 2025 adoption date.
2025-12,Signed Resolution / MAG SAP Policy Committee Certification of Orem's impracticability findings (UVX stations),compliance_letter,https://orem.gov/wp-content/uploads/2025/12/Signed-Resolution-of-Impracticability-for-Orem-UVX-Stations.pdf,2026-07-05,scanned,ocr-tesseract,raw/Signed-Resolution-of-Impracticability-for-Orem-UVX-Stations.pdf,1,city,"Mountainland AOG (MAG) SAP Policy Committee Resolution No. 2025-12 certifying Orem City's HB 462 findings of station-area-planning impracticability for the Lakeview, Main Street, and University Place UVX stations. OCR'd. Sidecar .ocr.txt."
2025-11,Orem FrontRunner MAG SAP Certification (Nov 2025),compliance_letter,https://orem.gov/wp-content/uploads/2025/12/Orem-Frontrunner-MAG-SAP-Certification_11.2025.pdf,2026-07-05,scanned,ocr-tesseract,raw/Orem-Frontrunner-MAG-SAP-Certification_11.2025.pdf,1,city,"MAG certification of the Orem FrontRunner SAP (Nov 2025). Scanned single page, OCR'd. Sidecar .ocr.txt."
2025,"Resolution R-2025-0023 - Determination of Impracticability, Main Street UVX transit station",compliance_letter,https://orem.gov/wp-content/uploads/2025/12/Resolution-R-2025-0023-Impracticability-Main-Street.pdf,2026-07-05,scanned,ocr-tesseract,raw/Resolution-R-2025-0023-Impracticability-Main-Street.pdf,15,city,City Council resolution adopting a HB 462 determination of impracticability for a station area plan at the Main Street public-transit station (Utah Code 10-21-203). Signed/scanned + map exhibits; OCR'd. Sidecar .ocr.txt.
2025,"Resolution R-2025-0024 - Determination of Impracticability, University Place UVX transit station",compliance_letter,https://orem.gov/wp-content/uploads/2025/12/Resolution-R-2025-0024-Impracticability-University-Place.pdf,2026-07-05,scanned,ocr-tesseract,raw/Resolution-R-2025-0024-Impracticability-University-Place.pdf,15,city,HB 462 impracticability determination for the University Place UVX station. Signed/scanned + exhibits; OCR'd. Sidecar .ocr.txt.
2025,"Resolution R-2025-0025 - Determination of Impracticability, Lakeview UVX transit station",compliance_letter,https://orem.gov/wp-content/uploads/2025/12/Resolution-R-2025-0025-Impracticability-Lakeview-Station.pdf,2026-07-05,scanned,ocr-tesseract,raw/Resolution-R-2025-0025-Impracticability-Lakeview-Station.pdf,16,city,HB 462 impracticability determination for the Lakeview UVX station. Signed/scanned + exhibits; OCR'd. Sidecar .ocr.txt.
2023,Utah HCD Moderate Income Housing Annual Reports 2023 (statewide compilation; Orem included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-05,text,pdftotext-layout,raw/23reports.pdf,1109,state,"State (DWS/HCD) compilation of all municipalities' filed MIH annual reports, report year 2023. Orem = printed pp 498-508 (PDF pages 499-509), bracketed by Ogden (ends 497) and Park City (509 per ToC on PDF p4). Extracted to text/orem-2023-mih-annual-report.txt. NOTE: Ogden's feedback paragraph bleeds into the top of Orem's first page (alphabetization/boundary bleed) - cite the page range, the full compilation is authoritative. Orem's report links its 2023 General Plan and Resolution R-2023-0004."
2024,Utah HCD Moderate Income Housing Annual Reports 2024 (statewide compilation; Orem included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-05,text,pdftotext-layout,raw/24reports.pdf,1030,state,"Report year 2024 (period Aug 1 2023 - Jul 31 2024). Orem report starts PDF page 471 ('Orem city / Grant Allen'), ends before Park City (PDF page 481); printed pp 940-959 (2-up layout). Extracted to text/orem-2024-mih-annual-report.txt."
2025,Utah HCD Moderate Income Housing Annual Reports 2025 (statewide compilation; Orem included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-05,text,pdftotext-layout,raw/25reports.pdf,1303,state,"Report year 2025. Orem report = PDF pages 598-610 ('Orem city / Grant Allen grallen@orem.gov'), bracketed by Ogden (starts p586) and Park City (starts p611). Discusses Phase 1 Station Area Plans + ASH zone. Extracted to text/orem-2025-mih-annual-report.txt."
2021,Utah HCD SB 34 Municipal Progress Summaries 2019-2021 (Orem included),compliance_letter,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-05,text,pdftotext-layout,raw/sb34.pdf,199,state,"State (DWS/HCD) SB 34 municipal MIH progress/compliance summaries 2019-2021. Orem = PDF pages 95-96 (header 'OREM, CITY'; County UTAH; AOG/MPO MAG; Required Items 4 / Menu 6; Major Transit Investment Corridor YES). HCD publishes no per-city compliance letter; this progress summary is the closest published compliance artifact. Extracted to text/orem-sb34-2019-2021-progress.txt."
