source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/text/council_2020-01-07.txt,1,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-07.txt,2,2020-01-07,Council,Ordinance,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,Passed unanimously,rule:lu-accessory,high
pmn_backfill/text/council_2020-01-07.txt,3,2020-01-07,Council,Budget Amendment,Budget,,final-action,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-07.txt,4,2020-01-07,Council,Contract/Purchase,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,rule:proc-session,high
pmn_backfill/text/council_2020-01-07.txt,5,2020-01-07,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,1,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,2,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,3,2020-01-21,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,4,2020-01-21,Council,Public Hearing Action,Public-Hearing,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,5,2020-01-21,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,5,0,,roll-call,Passed unanimously,rule:lu-rezone,high
pmn_backfill/text/council_2020-01-21.txt,6,2020-01-21,Council,Resolution,Resolution,,final-action,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,7,2020-01-21,Council,Resolution,Resolution,,final-action,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,8,2020-01-21,Council,Ordinance,Ordinance,,final-action,pass,4,1,,roll-call,Passed,crosswalk,high
pmn_backfill/text/council_2020-01-21.txt,9,2020-01-21,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-02-04.txt,1,2020-02-04,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-02-04.txt,2,2020-02-04,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-02-04.txt,3,2020-02-04,Council,Land-Use/Zoning,Land-Use,Text-Amendment,final-action,pass,5,0,,roll-call,Passed unanimously,rule:lu-textamend,high
pmn_backfill/text/council_2020-02-04.txt,4,2020-02-04,Council,Other,Other,,final-action,pass,3,2,,roll-call,Passed,rule:no-signal,low
pmn_backfill/text/council_2020-02-04.txt,5,2020-02-04,Council,Budget Amendment,Budget,,final-action,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
pmn_backfill/text/council_2020-02-04.txt,6,2020-02-04,Council,Other,Other,,final-action,pass,3,2,,roll-call,Passed,rule:no-signal,low
pmn_backfill/text/council_2020-02-04.txt,7,2020-02-04,Council,Contract/Purchase,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,rule:proc-session,high
pmn_backfill/text/council_2020-02-04.txt,8,2020-02-04,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,crosswalk,high
minutes/2020/2020-02-17/2020-02-18_city-council.md,1,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unknown,Passed,crosswalk,high
minutes/2020/2020-02-17/2020-02-18_city-council.md,2,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-02-17/2020-02-18_city-council.md,3,2020-02-18,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,,,,unanimous-declared,Passed unanimously,rule:lu-rezone,high
minutes/2020/2020-02-17/2020-02-18_city-council.md,4,2020-02-18,Council,Resolution,Resolution,,final-action,pass,,,,unknown,Passed,crosswalk,high
minutes/2020/2020-02-17/2020-02-18_city-council.md,5,2020-02-18,Council,Resolution,Resolution,,final-action,pass,,,,unknown,Passed,crosswalk,high
minutes/2020/2020-02-17/2020-02-18_city-council.md,6,2020-02-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unknown,Passed,crosswalk,high
minutes/2020/2020-03-02/2020-03-03_city-council.md,1,2020-03-03,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unknown,Passed,crosswalk,high
minutes/2020/2020-03-02/2020-03-03_city-council.md,2,2020-03-03,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-02/2020-03-03_city-council.md,3,2020-03-03,Council,Resolution,Resolution,,final-action,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-02/2020-03-03_city-council.md,4,2020-03-03,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,1,2020-03-17,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,2,2020-03-17,Council,Budget Amendment,Budget,,final-action,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,3,2020-03-17,Council,Ordinance,Ordinance,,final-action,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,4,2020-03-17,Council,Ordinance,Ordinance,,final-action,pass,,,,unanimous-declared,Passed unanimously,crosswalk,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,5,2020-03-17,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,,,,unanimous-declared,Passed unanimously,rule:lu-rezone,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,6,2020-03-17,Council,Other,Other,,final-action,pass,,,,unknown,Passed,rule:no-signal,low
minutes/2020/2020-03-16/2020-03-17_city-council.md,7,2020-03-17,Council,Contract/Purchase,Procedural-Administrative,,procedural,pass,5,0,,roll-call,Passed unanimously,rule:proc-session,high
minutes/2020/2020-03-16/2020-03-17_city-council.md,8,2020-03-17,Council,Other,Other,,final-action,pass,,,,unknown,Passed,rule:no-signal,low
