layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
Wasatch Choice Vision Centers 2023 (WCV_All_Centers),"The Wasatch Choice 2050/Vision growth centers as refreshed 2023 — city/town/urban/metro/neighborhood centers where the region steers concentrated housing + jobs; carries center type, phase, primary city, catchment population, non-residential FAR and dwelling-units-per-acre targets.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/WCV_All_Centers_2023/FeatureServer/0,ArcGIS FeatureServer (query -> json/geojson),2023 refresh (Wasatch Choice),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,"320 center polygons. The regional vision's density targets — the single best 'where growth is planned to concentrate' layer. L1 (WCVResidential) is a 1-feature helper, skipped."
Wasatch Choice 2050 Centers (Vision Map),Centers as drawn on the adopted Wasatch Choice 2050 Vision Map (area name + area type).,Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Wasatch_Choice_2050_Centers_(Vision_Map)/FeatureServer/0,ArcGIS FeatureServer,Wasatch Choice 2050 (Vision Map),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,303 polygons. Thinner-attributed vision-map twin of WCV_All_Centers_2023; use the 2023 layer for density attributes.
Regionally Significant Land Use,"Regionally significant land-use areas from the Wasatch Choice vision — catchment population, non-res FAR, dwelling/acre, indicator land use, and whether the area is transit-served / walkable / needs minimum roadway.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Regionally_Significant_Land_Use/FeatureServer/0,ArcGIS FeatureServer,Wasatch Choice (2023 vintage),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,214 polygons. Ties land-use intensity to transit/walkability — directly relevant to housing-near-transit questions.
Generalized Future Land Use (2025),"Harmonized generalized FUTURE land-use polygons stitched from member cities' adopted general plans — per-polygon city land-use type, a generalized regional category, max dwelling-units-per-acre, plan year and plan source, county and annexation-area flag.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Generalized_Future_Land_Use_(2025)/FeatureServer/0,ArcGIS FeatureServer,2025,Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,"1,116 polygons w/ City, County, GenLUType, MaxDUA, PlanSource. The cross-jurisdiction FUTURE land-use picture (vs current zoning) — pairs with per-city general plans."
BIG5 Homes & Jobs Within Centers,"WFRC 'Big 5' regional-goal tracking: annual homes and jobs counts 2019-onward, total and the share located WITHIN designated centers, by geography.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/BIG5_Housing_Jobs_Within_Centers_gdb/FeatureServer/0,ArcGIS FeatureServer,"2019 base, annual",Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,128 polygons; HOMES_* / HOMES_CTR_* annual columns. Measures whether growth is landing in centers — a housing-in-centers time series.
Equity Focus / Community Focus Areas 2023,"WFRC Equity Focus Areas — block-group-scale areas flagged for concentrations of poverty, minority population, zero-car households, etc., used to screen transportation/housing investments for equity.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Equity_Focus_Areas_2023/FeatureServer/0,ArcGIS FeatureServer,2023,Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),medium,372 polygons w/ poverty/minority indicators. Equity overlay for where growth + investment intersect vulnerable populations.
Access to Opportunities (ATO),"TAZ-based accessibility index: jobs and destinations reachable within a travel-time budget (work-related), with 2019 households/jobs context.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/AccessToOpportunities/FeatureServer/0,ArcGIS FeatureServer,Updated August 2020 (per service metadata),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),medium,"2,858 TAZ polygons. Accessibility is WFRC's core land-use+transportation performance metric. See also Areas_ATO_RTP2023 / TAZ_ATO_RTP2023 (RTP2023 vintage)."
TIP Public Comments,"Public comment points submitted on the Transportation Improvement Program (TIP) — commenter name/org, referenced project id, comment text, date.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/TIP_Public_Comments/FeatureServer/0,ArcGIS FeatureServer,Current (rolling),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),low,"124 comment points. Each TIP vintage service ALSO carries its own TIP_Comments table (24-334 rows) — see projects module. Public-engagement signal, not a growth metric."
Population Projections by City Area (RTP 2023),"Small-area annual POPULATION (household population) projections 2019-2050 for 316 model city-areas, RTP-2023 vintage. Attributes are federated into wfrc_mpo/projections/.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Population_Projections_City_Area_RTP_2023/FeatureServer/0,ArcGIS FeatureServer,RTP2023 (2019 base -> 2050),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,"316 polygons; YEAR2019..YEAR2050 + CH19TO50. Household-population (SECategory=HHPOP), excludes group quarters. Geometry endpoint; attribute values live in projections/wfrc_mpo_projections.csv."
Household Projections by City Area (RTP 2023),"Small-area annual HOUSEHOLD projections 2019-2050 for 316 model city-areas, RTP-2023 vintage. Attributes federated in projections/.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Household_Projections_City_Area_RTP_2023/FeatureServer/0,ArcGIS FeatureServer,RTP2023 (2019 base -> 2050),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,316 polygons. Occupied households (not housing units). Federated in projections module.
All Jobs Projections by City Area (RTP 2023),"Small-area annual TOTAL JOBS projections 2019-2050 for 316 model city-areas, RTP-2023 vintage. Attributes federated in projections/.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/All_Jobs_Projections_City_Area_RTP_2023/FeatureServer/0,ArcGIS FeatureServer,RTP2023 (2019 base -> 2050),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,"316 polygons. Total employment. Sub-sector job layers (Industrial/Office/Retail/Typical/NonTypical, _City_Area_ and _TAZ_) also exist -- see projections/SOURCES.md."
Population / Household / All-Jobs Projections by TAZ (RTP 2023),"Traffic-Analysis-Zone (finest) annual projections 2019-2050, RTP-2023 vintage, with CO_NAME/CO_FIPS county tags. Too fine to federate; kept as catalog + county rollup.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/Population_Projections_TAZ_RTP_2023/FeatureServer/0,ArcGIS FeatureServer,RTP2023 (2019 base -> 2050),Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,"9,815 TAZ polygons each (Population_/Household_/All_Jobs_Projections_TAZ_RTP_2023). Carries county -> basis for the WFRC 6-county regional total. See projections/derived/taz_county_rollup.csv."
RTP 2023-2050 Roadway Projects (lines + points),"Adopted 2023-2050 RTP roadway/highway projects with geometry; name, county, jurisdiction, route, phase, cost, current/future lanes, improvement type. Attributes federated in projects/.",Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/2023_2050_RTP_Roadway_Projects_lines/FeatureServer/0,ArcGIS FeatureServer,RTP2023-2050,Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,394 lines + 91 points (2023_2050_RTP_Roadway_Projects_points). Attribute rows in projects/projects.csv (plan_kind=rtp).
RTP 2023-2050 Transit Projects (lines + points),Adopted 2023-2050 RTP transit projects (BRT/rail/bus) with geometry. Attributes federated in projects/.,Wasatch Front Regional Council (WFRC),https://wfrc.org/maps-data/,https://services1.arcgis.com/taguadKoI1XFwivx/arcgis/rest/services/2023_RTP_Transit_Projects_lines/FeatureServer/0,ArcGIS FeatureServer,RTP2023-2050,Public — Wasatch Front Regional Council open data (attribute 'WFRC'; no explicit license stated),high,69 lines (2023_RTP_Transit_Projects_lines) + 33 points (2023_2050_RTP_Transit_Projects_points). Attribute rows in projects/projects.csv.
